s_index,site_id,project_code,year,river_code,reach_code,date,rmi,hab_1,hab_2,hab_length,hab_width,hab_max_depth,hab_secchi,hab_temp,hab_secchi_max,prim_sec,mc_secchi,mc_temp,crew,site_notes,key_a,loc_x,loc_y,epsg,NA_flg,rmi_flg,coords_flg,max_depth_flg,hab_secchi_flg
1,138ismp_2024_001,138ismp,2024,GR,LGR,9/17/2024,119.6,MC,BA,25,10,215,130,18,N,1,160,18,AA CN TG MS,,5af40b5k00s3t52,,,,,,,,
2,138ismp_2024_001,138ismp,2024,GR,LGR,9/17/2024,119,MC,BA,72,10,350,170,20,N,2,160,18,AA CN TG MS,,5af40b5k00ukon1,573662.65,4313976.105,32612,,,,,
3,138ismp_2024_001,138ismp,2024,GR,LGR,9/17/2024,114.9,MC,BA,218,44,360,230,21,N,1,80,20,AA CN TG MS,,5af40b5k00yrdpu,575100.1804,4309483.011,32612,,,,,
4,138ismp_2024_001,138ismp,2024,GR,LGR,9/17/2024,114.6,MC,BA,124,17,170,130,19,N,2,130,19,AA CN TG MS,,5af40b5k00zrx8l,574990.8143,4308998.57,32612,,,,,
5,138ismp_2024_001,138ismp,2024,GR,LGR,9/17/2024,105.3,MC,BA,234,26,1000,80,20,N,1,130,21,AA CN TG MS,,5af40b5k019tqo9,574968.5303,4301501.138,32612,,,,,
6,138ismp_2024_001,138ismp,2024,GR,LGR,9/17/2024,104.1,MC,BA,148,14,330,55,18,N,1,55,19,AA CN TG MS,,5af40b5k01d8tkc,574108.5939,4299826.341,32612,,,,,
7,138ismp_2024_001,138ismp,2024,GR,LGR,9/18/2024,101.4,MC,BA,57,17,500,140,17,N,2,115,19,AA CN TG MS,,5af40b5k10noh5c,575908.8988,4297387.888,32612,,,,,
8,138ismp_2024_001,138ismp,2024,GR,LGR,9/18/2024,95.6,MC,FT,61,9,280,160,17.5,N,1,150,18,AA CN TG MS,,5af40b5k10t3mmv,579266.038,4291053.985,32612,,,,,
10,138ismp_2024_001,138ismp,2024,GR,LGR,9/18/2024,86.3,MC,BA,18,14,1000,140,19.5,N,1,140,19.5,AA CN TG MS,,5af40b5k10x9aoy,578190.0634,4283166.439,32612,,,,,
11,138ismp_2024_001,138ismp,2024,GR,LGR,9/18/2024,82.5,MC,BA,68,21,1000,200,21,N,1,170,19,AA CN TG MS,,5af40b5k1134l08,580508.6535,4280917.291,32612,,,,,
12,138ismp_2024_001,138ismp,2024,GR,LGR,9/18/2024,75.9,MC,BA,30,13,220,220,23,Y,1,220,20,AA CN TG MS,,5af40b5k1159v87,583272.0747,4277763.311,32612,,,,,
13,138ismp_2024_001,138ismp,2024,GR,LGR,9/18/2024,72.4,MC,BA,46,35,200,200,23,Y,1,180,20,AA CN TG MS,,5af40b5k1176yo8,581267.4099,4274849.991,32612,,,,,
14,138ismp_2024_001,138ismp,2024,GR,LGR,9/18/2024,69.9,MC,BA,150,10,1000,290,19,N,1,190,20,AA CN TG MS,,5af40b5k118zenl,584276.1343,4273820.005,32612,,,,,
15,138ismp_2024_001,138ismp,2024,GR,LGR,9/19/2024,44,MC,BA,266,21,1000,230,16.5,N,1,135,18,AA CN TG MS,PHEVAL,5af40b5k20m8o50,586686.8985,4257755.937,32612,,,,,
16,138ismp_2024_001,138ismp,2024,GR,LGR,9/19/2024,40.9,MC,BA,15,7,280,280,18,Y,2,110,18.5,AA CN TG MS,FLOOD DEBRIS,5af40b5k20qxgkw,584334.9389,4256735.743,32612,,,,,
17,138ismp_2024_001,138ismp,2024,GR,LGR,9/19/2024,33.1,MC,BA,62,11,660,230,19,N,1,120,19,AA CN TG MS,,5af40b5k20trtng,584529.5429,4249065.984,32612,,,,,
18,138ismp_2024_001,138ismp,2024,GR,LGR,9/19/2024,31,MC,BA,24,15,340,170,21.5,N,2,160,20,AA CN TG MS,N,5af40b5k20w668r,586117.9003,4246668.343,32612,,,,,
19,138ismp_2024_001,138ismp,2024,GR,LGR,9/19/2024,29.7,MC,BA,138,17,440,220,22,N,1,135,20.5,AA CN TG MS,,5af40b5k20wq3gj,,,,,,,,
20,138ismp_2024_001,138ismp,2024,GR,LGR,9/19/2024,27.6,MC,BA,55,12,870,170,19,N,2,120,20,AA CN TG MS,,5af40b5k20z4z1m,589659.9604,4249232.822,32612,,,,,
21,138ismp_2024_001,138ismp,2024,GR,LGR,9/19/2024,21.6,MC,FT,61,7,260,140,23,Y,1,125,21,AA CN TG MS,CANYON FLOOD DEBRIS,5af40b5k213jp8b,592526.6742,4245158.525,32612,,,,,
22,138ismp_2024_001,138ismp,2024,GR,LGR,9/19/2024,21.3,MC,FT,23,10,500,300,21,N,2,125,20.5,AA CN TG MS,,5af40b5k214w4iz,592207.4791,4244672.045,32612,,,,,
23,138ismp_2024_001,138ismp,2024,GR,LGR,9/19/2024,19.9,MC,FT,19,9,1000,260,21,N,1,120,21,AA CN TG MS,,5af40b5k215v2hn,590358.2184,4242951.667,32612,,,,,
24,138ismp_2024_001,138ismp,2024,GR,LGR,9/19/2024,14,MC,BA,44,10,750,195,22,N,1,115,20,AA CN TG MS,,5af40b5k2198178,593144.0183,4235896.891,32612,,,,,
25,138ismp_2024_001,138ismp,2024,GR,LGR,9/19/2024,12,MC,BA,79,24,200,200,30,Y,2,130,21,AA CN TG MS,,5af40b5k21at9la,595088.6315,4236341.998,32612,,,,,
26,138ismp_2024_001,138ismp,2024,GR,LGR,9/19/2024,9.4,MC,BA,34,17,1000,170,22,N,1,125,21,AA CN TG MS,,5af40b5k21c0k6a,594661.1658,4233472.638,32612,,,,,
27,138ismp_2024_001,138ismp,2024,GR,LGR,9/20/2024,2.7,MC,BA,31,20,1000,150,18,N,1,135,21,AA CN TG MS,,5af40b5k305sldu,597328.8671,4229489.063,32612,,,,,
28,138ismp_2024_001,138ismp,2024,CO,LCO,9/24/2024,62.1,MC,BA,140,30,180,180,14,Y,1,115,18,AA TG CN,,5af40b5k70oxalc,622954.6931,4271599.176,32612,,,,,
29,138ismp_2024_001,138ismp,2024,CO,LCO,9/24/2024,58,MC,BA,37,7,1000,180,17,N,1,120,18,AA TG CN,REEK,5af40b5k70qzdnm,621388.8572,4265586.61,32612,,,,,
30,138ismp_2024_001,138ismp,2024,CO,LCO,9/24/2024,44.1,MC,BA,34,28,1000,160,19.5,N,1,110,19,AA TG CN,,5af40b5k70vdidw,616959.316,4259051.321,32612,,,,,
31,138ismp_2024_001,138ismp,2024,CO,LCO,9/24/2024,43.8,MC,BA,19,16,1000,160,19,N,2,135,19,AA TG CN,,5af40b5k70wnkkj,616740.2468,4258669.061,32612,,,,,
32,138ismp_2024_001,138ismp,2024,CO,LCO,9/24/2024,38.2,MC,BA,55,22,475,120,21,N,1,120,20,AA TG CN,,5af40b5k70yqb87,611697.8162,4256799.722,32612,,,,,
33,138ismp_2024_001,138ismp,2024,CO,LCO,9/24/2024,34.8,MC,IT,103,13,500,270,25,N,1,95,20,AA TG CN,,5af40b5k712odqm,607778.3548,4256377.923,32612,,,,,
34,138ismp_2024_001,138ismp,2024,CO,LCO,9/24/2024,33.2,MC,BA,75,10,710,200,25,N,2,120,20,AA TG CN,,5af40b5k714qbgb,609011.8782,4254935.78,32612,,,,,
35,138ismp_2024_001,138ismp,2024,CO,LCO,9/24/2024,26.5,MC,BA,72,22,415,100,21.5,N,1,140,21,AA TG CN,,5af40b5k716tioo,610570.7993,4246666.568,32612,,,,,
36,138ismp_2024_001,138ismp,2024,CO,LCO,9/24/2024,24.8,MC,BA,23,14,200,180,21,N,1,110,21,AA TG CN,,5af40b5k7189cp1,607829.2889,4246494.229,32612,,,,,
37,138ismp_2024_001,138ismp,2024,CO,LCO,9/24/2024,20.3,MC,BA,93,10,300,130,24,N,2,120,21,AA TG CN,,5af40b5k71a019d,607409.4752,4243430.863,32612,,,,,
38,138ismp_2024_001,138ismp,2024,CO,LCO,9/24/2024,17,MC,BA,83,12,1000,135,23,N,1,130,21,AA TG CN,,5af40b5k71baf12,606281.0463,4240265.19,32612,,,,,
39,138ismp_2024_001,138ismp,2024,CO,LCO,9/25/2024,13.5,MC,BA,32,12,180,120,17,N,1,100,19,AA TG CN,,5af40b5k80misbw,605648.6202,4236455.423,32612,,,,,
40,138ismp_2024_001,138ismp,2024,CO,LCO,9/25/2024,2.8,MC,BA,30,1,1000,95,22,N,1,95,20,AA TG CN,,5af40b5k80or7is,600606.522,4230422.627,32612,,,,,
41,138ismp_2024_001,138ismp,2024,CO,LCO,9/26/2024,109.8,MC,IT,30,20,1000,225,19.5,N,1,375,19,AA CN TG TC,,5af40b5k90teikg,651493.1522,4314023.292,32612,,,,,
42,138ismp_2024_001,138ismp,2024,CO,LCO,9/26/2024,102,MC,BA,362,20,1000,400,23,N,1,300,19,AA CN TG TC,,5af40b5k90xxi0o,651189.7704,4306286.842,32612,,,,,
43,138ismp_2024_001,138ismp,2024,CO,LCO,9/26/2024,99.8,MC,BA,90,8,850,300,21,N,1,250,20,AA CN TG TC,,5af40b5k9122r7c,649724.5105,4303189.406,32612,,,,,
44,138ismp_2024_001,138ismp,2024,CO,LCO,9/26/2024,99,MC,BA,250,19,450,365,21,N,2,280,21,AA CN TG TC,SEGERS WASH,5af40b5k913nvd0,648822.2435,4302173.013,32612,,,,,
45,138ismp_2024_001,138ismp,2024,CO,LCO,9/26/2024,91.6,MC,BA,56,23,275,275,24,Y,1,280,20,AA CN TG TC,,5af40b5k91488ic,644505.6508,4296423.425,32612,,,,,
46,138ismp_2024_001,138ismp,2024,CO,LCO,9/26/2024,89.3,MC,EM,94,30,1000,280,19.5,N,1,250,20,AA CN TG TC,,5af40b5k91a0oko,644828.4732,4293714.789,32612,,,,,
47,138ismp_2024_001,138ismp,2024,CO,LCO,9/27/2024,77,MC,BA,15,7,1000,225,19.5,N,1,215,19.5,AA CN TG TC,,5af40b5ka0sidf3,633434.8511,4282946.361,32612,,,,,
48,138ismp_2024_001,138ismp,2024,CO,LCO,9/27/2024,75.1,MC,FT,182,13,310,310,19.5,Y,2,230,20,AA CN TG TC,,5af40b5ka0udnab,630695.4646,4281632.726,32612,,,,,
49,138ismp_2024_001,138ismp,2024,CO,LCO,9/27/2024,70,MC,BA,21,17,1000,220,20,N,1,180,20,AA CN TG TC,,5af40b5ka0xckmq,632039.5914,4277494.087,32612,,,,,
50,138ismp_2024_001,138ismp,2024,CO,LCO,9/27/2024,66.5,MC,BA,15,15,315,315,25,Y,1,240,21,AA CN TG TC,,5af40b5ka12bq5d,626603.5626,4274393.33,32612,,,,,
